20240602	12:44:59	94875ae5-e2ab-46d2-b1b5-dd52fa85f370	[6/2/2024, 12:44:59 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.bundle.min.js
20240602	12:44:59	836dfeff-d454-4c8a-9c60-775909579c3c	[6/2/2024, 12:44:59 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.min.js
20240602	12:44:59	4ba2d7ac-6d21-433d-a89e-fa2e603ca565	[6/2/2024, 12:44:59 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.bundle.min.js.map
20240602	12:44:59	ccdbf9ac-e281-4350-a8a0-d85c0dc6ba67	[6/2/2024, 12:44:59 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.min.js.map
20240602	12:44:59	431b5767-5bfa-4a4b-97c8-443095bff71f	[6/2/2024, 12:44:59 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css.map
20240602	12:53:17	96ca5da2-a726-4c7a-a2bc-2dff93f717f2	[6/2/2024, 12:53:17 PM]	GET	undefined	/
20240602	12:53:17	36ee75df-5a91-4500-992a-3627de1ad0bd	[6/2/2024, 12:53:17 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css
20240602	12:53:17	24066a8b-32ff-46de-9e3c-0f20bcbe135d	[6/2/2024, 12:53:17 PM]	GET	undefined	/bootstrap/bootstrap-icons/font/bootstrap-icons.min.css
20240602	12:53:17	e92e6c6b-c3db-4201-b47a-9c2583e7ffb1	[6/2/2024, 12:53:17 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.bundle.min.js
20240602	12:53:17	9279331f-bd6c-46a6-b8c5-2860950a533e	[6/2/2024, 12:53:17 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.min.js
20240602	12:53:17	092ac508-1556-44ca-b9fb-975d6d26f332	[6/2/2024, 12:53:17 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css.map
20240602	12:53:17	5a714079-1d62-43b5-90a1-5fc41d94ea17	[6/2/2024, 12:53:17 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.bundle.min.js.map
